well_name,unique_id,rxn_id,K,Liposome_name,Mg,Liposome_conc,DNA_name,DNA_conc,plate,row,col
I3,0,0,85.0,DOPC,8.0,3,ICAM,5,1,8,2
D3,1,1,85.0,DOPC,14.0,3,ICAM,5,1,3,2
M3,3,3,185.0,DOPC,8.0,3,ICAM,5,1,12,2
N6,4,4,185.0,DOPC,14.0,3,ICAM,5,1,13,5
H2,5,5,185.0,DOPC,20.0,3,ICAM,5,1,7,1
I1,6,6,85.0,no_lipo,8.0,3,ICAM,5,1,8,0
N5,7,7,85.0,no_lipo,14.0,3,ICAM,5,1,13,4
J6,8,8,85.0,no_lipo,20.0,3,ICAM,5,1,9,5
E4,9,9,185.0,no_lipo,8.0,3,ICAM,5,1,4,3
J3,10,10,185.0,no_lipo,14.0,3,ICAM,5,1,9,2
D2,11,11,185.0,no_lipo,20.0,3,ICAM,5,1,3,1
G4,12,12,85.0,DOPC,8.0,3,PVR,5,1,6,3
C5,13,13,85.0,DOPC,14.0,3,PVR,5,1,2,4
N1,14,14,85.0,DOPC,20.0,3,PVR,5,1,13,0
N3,15,15,185.0,DOPC,8.0,3,PVR,5,1,13,2
E5,16,16,185.0,DOPC,14.0,3,PVR,5,1,4,4
J1,17,17,185.0,DOPC,20.0,3,PVR,5,1,9,0
D4,18,18,85.0,no_lipo,8.0,3,PVR,5,1,3,3
P6,19,19,85.0,no_lipo,14.0,3,PVR,5,1,15,5
A3,20,20,85.0,no_lipo,20.0,3,PVR,5,1,0,2
L2,21,21,185.0,no_lipo,8.0,3,PVR,5,1,11,1
M6,22,22,185.0,no_lipo,14.0,3,PVR,5,1,12,5
A5,23,23,185.0,no_lipo,20.0,3,PVR,5,1,0,4
C4,24,24,85.0,DOPC,8.0,3,AqpZ,5,1,2,3
M1,25,25,85.0,DOPC,14.0,3,AqpZ,5,1,12,0
G6,26,26,85.0,DOPC,20.0,3,AqpZ,5,1,6,5
D5,27,27,185.0,DOPC,8.0,3,AqpZ,5,1,3,4
I4,28,28,185.0,DOPC,14.0,3,AqpZ,5,1,8,3
F5,29,29,185.0,DOPC,20.0,3,AqpZ,5,1,5,4
O6,30,30,85.0,no_lipo,8.0,3,AqpZ,5,1,14,5
L5,31,31,85.0,no_lipo,14.0,3,AqpZ,5,1,11,4
E1,32,32,85.0,no_lipo,20.0,3,AqpZ,5,1,4,0
H6,33,33,185.0,no_lipo,8.0,3,AqpZ,5,1,7,5
P2,34,34,185.0,no_lipo,14.0,3,AqpZ,5,1,15,1
E3,35,35,185.0,no_lipo,20.0,3,AqpZ,5,1,4,2
J2,36,36,85.0,DOPC,8.0,3,Blank,5,1,9,1
P1,37,37,85.0,DOPC,14.0,3,Blank,5,1,15,0
K2,38,38,85.0,DOPC,20.0,3,Blank,5,1,10,1
C1,39,39,185.0,DOPC,8.0,3,Blank,5,1,2,0
J5,40,40,185.0,DOPC,14.0,3,Blank,5,1,9,4
L4,41,41,185.0,DOPC,20.0,3,Blank,5,1,11,3
P3,42,42,85.0,no_lipo,8.0,3,Blank,5,1,15,2
L6,43,43,85.0,no_lipo,14.0,3,Blank,5,1,11,5
F2,44,44,85.0,no_lipo,20.0,3,Blank,5,1,5,1
M5,45,45,185.0,no_lipo,8.0,3,Blank,5,1,12,4
I2,46,46,185.0,no_lipo,14.0,3,Blank,5,1,8,1
G1,47,47,185.0,no_lipo,20.0,3,Blank,5,1,6,0
O3,48,0,85.0,DOPC,8.0,3,ICAM,5,1,14,2
B4,49,1,85.0,DOPC,14.0,3,ICAM,5,1,1,3
M4,50,2,85.0,DOPC,20.0,3,ICAM,5,1,12,3
N2,51,3,185.0,DOPC,8.0,3,ICAM,5,1,13,1
B6,52,4,185.0,DOPC,14.0,3,ICAM,5,1,1,5
K3,53,5,185.0,DOPC,20.0,3,ICAM,5,1,10,2
A4,54,6,85.0,no_lipo,8.0,3,ICAM,5,1,0,3
B1,55,7,85.0,no_lipo,14.0,3,ICAM,5,1,1,0
P5,56,8,85.0,no_lipo,20.0,3,ICAM,5,1,15,4
O1,57,9,185.0,no_lipo,8.0,3,ICAM,5,1,14,0
K6,58,10,185.0,no_lipo,14.0,3,ICAM,5,1,10,5
F6,59,11,185.0,no_lipo,20.0,3,ICAM,5,1,5,5
H4,60,12,85.0,DOPC,8.0,3,PVR,5,1,7,3
E6,61,13,85.0,DOPC,14.0,3,PVR,5,1,4,5
A1,62,14,85.0,DOPC,20.0,3,PVR,5,1,0,0
O5,63,15,185.0,DOPC,8.0,3,PVR,5,1,14,4
D6,64,16,185.0,DOPC,14.0,3,PVR,5,1,3,5
G2,65,17,185.0,DOPC,20.0,3,PVR,5,1,6,1
P4,66,18,85.0,no_lipo,8.0,3,PVR,5,1,15,3
L3,67,19,85.0,no_lipo,14.0,3,PVR,5,1,11,2
H1,68,20,85.0,no_lipo,20.0,3,PVR,5,1,7,0
I5,69,21,185.0,no_lipo,8.0,3,PVR,5,1,8,4
A6,70,22,185.0,no_lipo,14.0,3,PVR,5,1,0,5
H5,71,23,185.0,no_lipo,20.0,3,PVR,5,1,7,4
O4,72,24,85.0,DOPC,8.0,3,AqpZ,5,1,14,3
L1,73,25,85.0,DOPC,14.0,3,AqpZ,5,1,11,0
C2,74,26,85.0,DOPC,20.0,3,AqpZ,5,1,2,1
G5,75,27,185.0,DOPC,8.0,3,AqpZ,5,1,6,4
C3,76,28,185.0,DOPC,14.0,3,AqpZ,5,1,2,2
A2,77,29,185.0,DOPC,20.0,3,AqpZ,5,1,0,1
F3,78,30,85.0,no_lipo,8.0,3,AqpZ,5,1,5,2
B3,79,31,85.0,no_lipo,14.0,3,AqpZ,5,1,1,2
E2,80,32,85.0,no_lipo,20.0,3,AqpZ,5,1,4,1
F4,81,33,185.0,no_lipo,8.0,3,AqpZ,5,1,5,3
I6,82,34,185.0,no_lipo,14.0,3,AqpZ,5,1,8,5
G3,83,35,185.0,no_lipo,20.0,3,AqpZ,5,1,6,2
B2,84,36,85.0,DOPC,8.0,3,Blank,5,1,1,1
D1,85,37,85.0,DOPC,14.0,3,Blank,5,1,3,0
F1,86,38,85.0,DOPC,20.0,3,Blank,5,1,5,0
N4,87,39,185.0,DOPC,8.0,3,Blank,5,1,13,3
O2,88,40,185.0,DOPC,14.0,3,Blank,5,1,14,1
K1,89,41,185.0,DOPC,20.0,3,Blank,5,1,10,0
B5,90,42,85.0,no_lipo,8.0,3,Blank,5,1,1,4
M2,91,43,85.0,no_lipo,14.0,3,Blank,5,1,12,1
C6,92,44,85.0,no_lipo,20.0,3,Blank,5,1,2,5
K4,93,45,185.0,no_lipo,8.0,3,Blank,5,1,10,3
J4,94,46,185.0,no_lipo,14.0,3,Blank,5,1,9,3
K5,95,47,185.0,no_lipo,20.0,3,Blank,5,1,10,4
