,Row,Column,Droplet
0,0,1,1
66,0,2,1
78,0,3,1
84,0,4,1
90,0,5,1
96,0,6,1
102,0,7,1
108,0,8,1
114,0,9,1
6,0,10,1
12,0,11,1
18,0,12,1
24,0,13,1
30,0,14,1
36,0,15,1
42,0,16,1
48,0,17,1
54,0,18,1
60,0,19,1
72,0,20,1
0,0,22,1
1,0,23,1
2,0,24,1
5,1,24,1
4,1,23,1
3,1,22,1
192,1,20,1
180,1,19,1
174,1,18,1
168,1,17,1
162,1,16,1
156,1,15,1
150,1,14,1
144,1,13,1
138,1,12,1
132,1,11,1
126,1,10,1
234,1,9,1
228,1,8,1
222,1,7,1
216,1,6,1
210,1,5,1
204,1,4,1
198,1,3,1
186,1,2,1
120,1,1,1
240,2,1,1
306,2,2,1
312,2,3,1
318,2,4,1
324,2,5,1
330,2,6,1
336,2,7,1
342,2,8,1
348,2,9,1
246,2,10,1
252,2,11,1
258,2,12,1
264,2,13,1
270,2,14,1
276,2,15,1
282,2,16,1
288,2,17,1
294,2,18,1
300,2,19,1
6,2,22,1
7,2,23,1
8,2,24,1
11,3,24,1
10,3,23,1
9,3,22,1
414,3,19,1
408,3,18,1
402,3,17,1
396,3,16,1
390,3,15,1
384,3,14,1
378,3,13,1
372,3,12,1
366,3,11,1
360,3,10,1
462,3,9,1
456,3,8,1
450,3,7,1
444,3,6,1
438,3,5,1
432,3,4,1
426,3,3,1
420,3,2,1
354,3,1,1
468,4,1,1
534,4,2,1
540,4,3,1
546,4,4,1
552,4,5,1
558,4,6,1
564,4,7,1
570,4,8,1
576,4,9,1
474,4,10,1
480,4,11,1
486,4,12,1
492,4,13,1
498,4,14,1
504,4,15,1
510,4,16,1
516,4,17,1
522,4,18,1
528,4,19,1
12,4,22,1
13,4,23,1
14,4,24,1
17,5,24,1
16,5,23,1
15,5,22,1
642,5,19,1
636,5,18,1
630,5,17,1
624,5,16,1
618,5,15,1
612,5,14,1
606,5,13,1
600,5,12,1
594,5,11,1
588,5,10,1
690,5,9,1
684,5,8,1
678,5,7,1
672,5,6,1
666,5,5,1
660,5,4,1
654,5,3,1
648,5,2,1
582,5,1,1
696,6,1,1
762,6,2,1
768,6,3,1
774,6,4,1
780,6,5,1
786,6,6,1
792,6,7,1
798,6,8,1
804,6,9,1
702,6,10,1
708,6,11,1
714,6,12,1
720,6,13,1
726,6,14,1
732,6,15,1
738,6,16,1
744,6,17,1
750,6,18,1
756,6,19,1
18,6,22,1
19,6,23,1
20,6,24,1
870,7,19,1
864,7,18,1
858,7,17,1
852,7,16,1
846,7,15,1
840,7,14,1
834,7,13,1
828,7,12,1
822,7,11,1
816,7,10,1
918,7,9,1
912,7,8,1
906,7,7,1
900,7,6,1
894,7,5,1
888,7,4,1
882,7,3,1
876,7,2,1
810,7,1,1
924,8,1,1
990,8,2,1
996,8,3,1
1002,8,4,1
1008,8,5,1
1014,8,6,1
1020,8,7,1
1026,8,8,1
1032,8,9,1
930,8,10,1
936,8,11,1
942,8,12,1
948,8,13,1
954,8,14,1
960,8,15,1
966,8,16,1
972,8,17,1
978,8,18,1
984,8,19,1
1098,9,19,1
1092,9,18,1
1086,9,17,1
1080,9,16,1
1074,9,15,1
1068,9,14,1
1062,9,13,1
1056,9,12,1
1050,9,11,1
1044,9,10,1
1146,9,9,1
1140,9,8,1
1134,9,7,1
1128,9,6,1
1122,9,5,1
1116,9,4,1
1110,9,3,1
1104,9,2,1
1038,9,1,1
1152,10,1,1
1218,10,2,1
1224,10,3,1
1230,10,4,1
1236,10,5,1
1242,10,6,1
1248,10,7,1
1254,10,8,1
1260,10,9,1
1158,10,10,1
1164,10,11,1
1170,10,12,1
1176,10,13,1
1182,10,14,1
1188,10,15,1
1194,10,16,1
1200,10,17,1
1206,10,18,1
1212,10,19,1
1326,11,19,1
1320,11,18,1
1314,11,17,1
1308,11,16,1
1302,11,15,1
1296,11,14,1
1290,11,13,1
1284,11,12,1
1278,11,11,1
1272,11,10,1
1374,11,9,1
1368,11,8,1
1362,11,7,1
1356,11,6,1
1350,11,5,1
1344,11,4,1
1338,11,3,1
1332,11,2,1
1266,11,1,1
1380,12,1,1
1446,12,2,1
1452,12,3,1
1458,12,4,1
1464,12,5,1
1470,12,6,1
1476,12,7,1
1482,12,8,1
1488,12,9,1
1386,12,10,1
1392,12,11,1
1398,12,12,1
1404,12,13,1
1410,12,14,1
1416,12,15,1
1422,12,16,1
1428,12,17,1
1434,12,18,1
1440,12,19,1
1554,13,19,1
1548,13,18,1
1542,13,17,1
1536,13,16,1
1530,13,15,1
1524,13,14,1
1518,13,13,1
1512,13,12,1
1506,13,11,1
1500,13,10,1
1602,13,9,1
1596,13,8,1
1590,13,7,1
1584,13,6,1
1578,13,5,1
1572,13,4,1
1566,13,3,1
1560,13,2,1
1494,13,1,1
1608,14,1,1
1674,14,2,1
1680,14,3,1
1686,14,4,1
1692,14,5,1
1698,14,6,1
1704,14,7,1
1710,14,8,1
1716,14,9,1
1614,14,10,1
1620,14,11,1
1626,14,12,1
1632,14,13,1
1638,14,14,1
1644,14,15,1
1650,14,16,1
1656,14,17,1
1662,14,18,1
1668,14,19,1
1782,15,19,1
1776,15,18,1
1770,15,17,1
1764,15,16,1
1758,15,15,1
1752,15,14,1
1746,15,13,1
1740,15,12,1
1734,15,11,1
1728,15,10,1
1830,15,9,1
1824,15,8,1
1818,15,7,1
1812,15,6,1
1806,15,5,1
1800,15,4,1
1794,15,3,1
1788,15,2,1
1722,15,1,1
